id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,positive_count,negative_count,binh_luan_SP,binh_luan_Prices,binh_luan_services,label
128,404,,9/4/2023,21:46,4,200400003,0,0,0,0,0,good
129,2796,sĩ thẩm_mĩ da_liễu bôi lazer dịu nhẹ tức,24/09/2024,15:13,5,100180113,2,0,1,0,0,good
130,253,không_đọc kỹ chữ tảy_trang tặng giá hợp_lý hãng,12/8/2021,8:37,4,205100146,1,1,1,1,1,good
131,691,mùi hương_mát giá_thành ổn,30/04/2023,16:45,5,204100054,1,0,1,1,0,good
132,701,thích tẩy_trang,29/04/2023,18:34,5,100230064,1,0,0,0,0,good
133,1220,,25/10/2020,13:38,5,422217292,0,0,0,0,0,good
134,2195,không_tặng kèm trang,23/08/2022,7:32,4,249500028,0,1,1,0,1,good
135,4038,dùg mask hơi dão không_ôm kim_cương ngọc dùg_thích nhất,19/01/2021,0:34,5,365000013,1,1,1,0,0,good
136,2308,rât_hợp da dầu mụn,2/8/2024,21:59,5,422205164,1,0,1,0,0,good
137,2385,mùi hương_mát giá_thành ổn,29/04/2023,11:21,3,204100019,1,0,1,1,0,neutral
138,2327,mùi hương_lành tính giá_thành rẻ,3/5/2023,17:48,5,204100019,1,0,1,1,0,good
139,145,tốt túi_tiền,19/04/2023,20:48,5,422211446,1,0,0,1,0,good
140,2891,hồi tiên_bình kết_hợp_viên uống thần hãng da trắng hẳn xưa da đen_dị chân đời,8/1/2021,8:23,5,358300002,1,0,1,0,0,good
141,35,thích lắm,17/04/2023,13:44,5,318900011,1,0,0,0,0,good
142,3972,bọt sạch ẩm tốt rửa tẩy_trang kĩ_cảm_tác srm dòng dược tiền,29/10/2022,21:52,5,331300002,3,0,1,1,0,good
143,162,tốt nâng tone giá hơi,9/1/2021,6:40,3,248700035,1,0,0,1,0,neutral
144,1144,không_mấy sirum dịu nhẹ không_kích ứng_da phù_hợp da nhạy_cảm dầu mụn rửa không_khô_kích_ứng sirum hãng da nổi mụn viêm đỏ nhiều,7/8/2023,14:20,5,422218629,3,2,1,0,0,good
145,672,thoải_mái,4/5/2023,16:47,5,308500004,0,0,0,0,0,good
146,171,serum dạng dầu không_rửa mặt hơi dính,18/11/2022,0:24,4,422206648,0,1,1,0,0,good
147,2665,tệ bụi,10/4/2022,12:23,1,243300007,0,1,0,0,0,bad
149,3317,kém bền hỏng,12/11/2021,10:02,1,308500037,0,1,0,0,0,bad
150,562,xài ok xài không_dầu mặt_mũi không_bóng bôi tán mặt không_vón,20/04/2021,11:08,5,204900013,1,1,1,0,0,good
151,745,ap tặng tẩy_trang,29/08/2022,8:59,5,200400004,0,0,0,0,1,good
152,3342,mask xài thích mát_hơi châm chích da_dịu nốt mụn xẹp hơn ưng lắm tủ_lạnh xài thích nữa,14/08/2020,13:40,5,308100018,3,0,1,0,0,good
153,3684,,17/03/2022,11:49,5,226200017,0,0,0,0,0,good
154,205,cảm_ổn lớp bóng nhẹ sirum,19/05/2022,23:21,5,422211446,1,0,0,0,0,good
155,680,,30/04/2023,14:33,5,308500013,0,0,0,0,0,good
156,256,đỉnh tẩy trang_dịu nhẹ sạch bụi bẩn,27/12/2022,18:58,5,200400004,3,0,1,0,0,good
157,1074,trang sạch_kỳ da nhạy_cảm thiên_dầu đỏ,18/12/2022,18:50,5,422201504,1,0,1,0,0,good
158,1292,tốt dịu nhẹ bọt mịn mặt ẩm_không_hề khô,15/05/2019,11:49,5,204900056,4,1,1,0,0,good
159,2431,thơm nhẹ mượt,26/04/2021,19:37,5,308500004,2,0,1,0,0,good
160,2105,rửa mặt sạch không_khô da,24/06/2021,5:49,5,422211501,1,1,1,0,0,good
162,2453,,30/03/2020,0:37,5,308500018,0,0,0,0,0,good
163,1428,da mụn sirum,6/1/2021,17:24,5,422217029,0,0,1,0,0,good
164,695,thoải_mái,29/04/2023,11:43,5,308500009,0,0,0,0,0,good
165,3116,trang rẻ ok người,7/2/2024,11:07,5,223600035,1,0,0,1,0,good
166,1492,,16/10/2020,10:37,5,100230069,0,0,0,0,0,good
167,3015,,15/12/2016,12:33,5,100150066,0,0,0,0,0,good
168,792,rát da sạch không_thích hơi rít da nhạy_cảm không_ưng,4/4/2021,1:56,3,355500010,3,2,1,0,0,neutral
169,1895,chân đời viêm mụn đỏ tối đắp ngủ sáng hôm không_viêm nữa,12/4/2024,21:35,5,422205163,2,1,1,0,0,good
170,788,hãng đàng_hoàng da dầu hỗn_hợp xài ok không_thiết da nhạy_cảm xài hãng,17/06/2021,9:42,5,100230064,2,1,1,0,0,good
171,3873,xài da mặt sáng da cổ thâm_mụn nữa mờ,2/4/2023,9:25,5,422208242,1,0,1,0,0,good
172,2459,,10/1/2020,14:31,5,308500009,0,0,0,0,0,good
173,157,dòng nắp xám không_sạch nắp nhạt sạch nắp hồng không_cồn nắp nhạt không_bọt trượt da không_mượt_bù tẩy sạch lớp chống nắng cushion sương sương không_mụn ẩn_giá công toàn chấm,30/01/2023,11:22,5,422211446,2,1,1,1,0,good
174,2418,xài da nhảy_cảm xài mừng,13/08/2021,17:20,5,343100028,1,0,1,0,0,good
175,243,,6/10/2021,22:27,5,422208807,0,0,0,0,0,good
176,1083,kỹ thành không_mùi mùi mùi brand_pháp mùi sạch dòng oréal xài tốt,5/6/2022,22:38,5,422204906,2,1,1,0,0,good
177,2143,dư retinol viderm retinol zo dỡ không_hợp da cầu,15/04/2023,18:34,5,310100003,1,1,1,0,0,good
178,858,mới tác lắm,8/4/2024,22:06,5,214000001,0,0,0,0,0,good
179,409,tốt,11/4/2023,15:37,5,100230057,1,0,0,0,0,good
180,1513,da ẩm_mịn trắng hũ đêm da trắng hồng chống nắng hơi,8/6/2023,20:18,5,422211548,3,0,1,0,0,good
181,273,hợp da dầu,26/06/2021,23:08,5,422208807,1,0,1,0,0,good
182,4390,tẩy_trang toàn nhẹ_nhàng da mặt tẩy_trang chống nắng mùi thích,22/10/2017,2:34,5,100750038,1,0,1,0,0,good
185,1670,chất đặc_mau thấm không_nhờn bóng da dầu mụn thích,9/12/2021,11:18,5,318900019,1,1,1,0,0,good
186,545,không_mặt nạ_tác thải độc_không_đắp mặt,15/05/2021,20:22,4,365000014,0,1,1,0,0,good
187,409,tốt,11/4/2023,15:37,5,200400004,1,0,0,0,0,good
188,2305,tạm ổn thích evene hơn,26/12/2016,7:44,4,100150058,3,0,0,0,0,good
189,712,tốt,27/04/2023,17:29,5,308500015,1,0,0,0,0,good
190,1149,không_tặng,11/1/2023,15:22,5,422218631,0,1,1,0,1,good
191,262,hài,15/07/2021,21:58,4,357100011,0,0,0,0,0,good
192,135,phục_hồi,22/10/2024,6:08,5,422217972,0,0,0,0,0,good
193,2052,đợt ok mùi hắc bết không_bật,14/09/2022,9:58,1,422207413,1,3,1,0,0,bad
194,815,,24/02/2020,23:20,5,422216594,0,0,0,0,0,good
195,441,trực_tiếp cửa tặng kèm tuýp rửa mặt nữa chất màu vàng thấm tốt finish da ổn không_vón bện trắng cũ thực_thích cũ nâng không_dặm phấn_không_mặt mũi xám_nghét,23/10/2023,13:11,5,204900013,3,1,1,0,1,good
196,1114,không_hợp hơi thấm da cộng chất mềm mịn mùi thơm chịu,30/10/2021,1:27,3,223600040,3,1,1,0,0,neutral
197,2659,thích dày,30/06/2022,12:06,5,422203809,1,0,0,0,0,good
198,2596,mềm,20/11/2018,19:16,5,100230069,0,0,0,0,0,good
199,761,thực_hợp da bóng_nhờn nổi mụn kiềm dầu tốt không_bật da,13/02/2022,17:32,5,204100003,2,2,1,0,0,good
200,16,tốt giá không_tẩy mascara lì_tẩy chống nắng da dầu mụn xài,14/10/2023,16:54,5,205100136,1,1,1,1,0,good
202,2214,đẹp hình,15/01/2021,14:47,5,206200079,1,0,1,0,0,good
204,2638,tẩy trang_xài giá,20/11/2023,20:36,5,422203301,0,0,0,1,0,good
205,2260,mịn da mùi hơi nồng,23/04/2021,2:03,5,245500001,1,1,1,0,0,good
206,2372,thoải_mái,29/04/2023,19:36,5,422205163,0,0,0,0,0,good
207,2953,,13/12/2019,10:37,5,200500283,0,0,0,0,0,good
208,409,tốt,11/4/2023,15:37,5,100230059,1,0,0,0,0,good
209,246,giá rẻ tặng,22/09/2021,18:30,5,422211446,0,0,0,1,1,good
210,2288,màu màu hồng màu hồng_mềm mịn,31/05/2022,14:39,5,223600017,1,0,1,0,0,good
211,3007,sirum mịn da mùi không_hăng nhẹ nhẹ không_bọt bọt cồn rửa rít da_ngược hoàn_toàn rửa cảm_sirum thiên_nhiên không_hoá chất,20/02/2022,14:03,5,253900007,1,2,1,0,0,good
212,703,thoải_mái,28/04/2023,12:34,5,422205163,0,0,0,0,0,good
213,2319,thoải_mái,4/5/2023,17:45,5,308500009,0,0,0,0,0,good
214,350,xài xài trang nhẹ dịu_tẩy ẩm_da không_căng_rít hãng tẩy_trang khác,29/09/2019,10:10,5,205100137,1,1,1,0,0,good
215,709,thích tẩy_trang,27/04/2023,19:27,5,100230056,1,0,0,0,0,good
216,189,xài tuýp cảm_xài thích chất thấm lại,16/11/2022,9:16,5,422203617,1,0,0,0,0,good
218,1734,mùi,20/11/2023,10:08,5,422206042,0,0,0,0,0,good
219,2927,mặt_nạ chất tiếc_chất chất_dư mặt đắp mặt_nạ lên ẩm da tốt da mụn nội_tiết trộm_vía đắp dịu dịu,29/04/2024,23:25,5,422207148,2,0,1,0,0,good
220,1478,sirum sạch tốt kiềm dầu tốt hơi khô da,13/08/2021,20:06,5,204900004,2,1,1,0,0,good
221,815,,24/02/2020,23:20,5,100230064,0,0,0,0,0,good
222,749,chuẩn tẩy_trang quốc_dân,21/07/2022,20:04,5,200400003,1,0,1,0,0,good
223,4298,thử mặt_nạ peptide some má lành dịu đỏ_dưỡng chất không_nhễ_nhại khác,11/3/2024,21:32,5,422205635,0,2,1,0,0,good
224,1157,mặt_nạ đắp ổn ôm khít mặt không_châm,10/8/2024,21:43,5,422212871,1,1,1,0,0,good
225,2460,thích mát_xẹp nốt mụn sưng đêm da da_dầu hạn_chế tiết dầu tốt,10/11/2019,19:55,5,422205162,4,0,1,0,0,good
226,2221,trang da nhạy_cảm,25/07/2023,16:55,5,211300005,0,0,1,0,0,good
227,581,đọc xét chê tùy_hợp không_da trắng da_dầu nhẹ tệp da thấm_hơi mùi tiếng tệp da chống nắng da mặc da thâm_chỗ rỗ mụn không_mụn sáng da,27/11/2023,15:44,5,253900006,2,2,1,0,0,good
228,1594,xài pl xài tuýp mụn chậm thâm_hầu không_cải_thiện,11/2/2023,18:12,4,327500002,0,2,1,0,0,good
229,1665,mùi da mát má phục_hồi ổn bôi thấm da kiểu thấm sáng hôm ngủ dậy rửa mặt nhờn nhờn vẩn ok ổn,9/3/2022,12:23,5,318900005,3,0,1,0,0,good
230,3111,phẩn tốt không_mùi hương_thích chất đặc_thẩm thấu da căng mướt hơn,17/05/2021,20:15,5,204100013,5,1,1,0,0,good
231,695,thích tẩy_trang,29/04/2023,18:46,5,200400004,1,0,0,0,0,good
232,2285,da nhạy_cảm nặn mụn xịt_khoáng ổn mềm da,21/07/2023,10:50,5,100150059,1,0,1,0,0,good
233,684,thích tẩy_trang,30/04/2023,18:47,5,100230057,1,0,0,0,0,good
234,3876,dưỡng natrue da ẩm tốt màu tư_vấn thử ok,25/01/2024,21:30,5,248700076,3,0,1,0,0,good
235,4114,tẩy tế_bào chết tốt thơm,18/11/2023,17:04,5,422207812,2,0,1,0,0,good
236,1176,da dầu mụn ổn không_mụn không_nâng chống nắng_vẻ kém,22/08/2022,19:46,3,249500013,1,2,1,0,0,neutral
237,1051,không_bí không_đổ dầu_dưỡng ẩm_nhẹ lớp mỏng xịn,30/04/2021,17:40,5,248700035,2,1,1,0,0,good
238,722,,14/04/2023,13:58,5,100230056,0,0,0,0,0,good
239,336,,25/04/2020,22:17,5,205100146,0,0,0,0,0,good
240,2662,bịch bịch_tệ dập không_kỹ bét tùm rụng bịch không_không buồn,21/05/2022,10:07,1,243300007,0,3,1,0,0,bad
241,3463,cá_nhân chống nắng ok da_mẫn_cảm thử dòng thực_ưng giá tặng mắt_kính,23/05/2024,13:39,5,343100024,2,0,1,1,1,good
242,368,sạch lớp trang nhẹ_nhàng không_nhờn rít,26/10/2018,19:15,5,422206648,1,1,1,0,0,good
243,257,giá rẻ_bọc,8/8/2021,20:26,5,422200306,0,0,0,1,0,good
244,1188,hsd quà tặng kèm,11/6/2022,10:51,5,249500013,0,0,0,0,1,good
245,4233,chất tốt mụn gân uống thuốc cảm_ơn,26/08/2023,22:34,5,345800008,1,0,0,0,0,good
246,429,chống nắng lảoch không_chê uoi da dầu mụn xài ok không_bít_tắc cảm_giác nhờn xài xài,9/8/2024,8:10,5,422216416,1,1,1,1,0,good
247,286,,28/05/2021,8:13,5,205100146,0,0,0,0,0,good
